                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80543,                0.37843,                0.89309,                0.97303,                0.92196,                0.95426,                0.75948,                0.83813,                0.55912,                0.96631,               0.006535,               0.006535,               0.006535
                     37,                0.80386,                0.37637,                0.89345,                0.97316,                0.91996,                0.95494,                0.76551,                0.83485,                0.55402,                0.96214,               0.006436,               0.006436,               0.006436
                     38,                0.79615,                0.37455,                0.89021,                0.96827,                0.92454,                0.95939,                0.76849,                0.82767,                0.56307,                0.96019,               0.006337,               0.006337,               0.006337
                     39,                0.78983,                 0.3722,                0.88882,                0.96883,                0.91845,                0.95712,                0.76406,                0.83391,                0.56179,                0.95886,               0.006238,               0.006238,               0.006238
                     40,                0.78809,                0.36893,                0.88729,                0.96899,                0.92233,                0.95996,                0.76535,                0.83297,                0.53996,                0.96165,               0.006139,               0.006139,               0.006139
                     41,                0.77965,                0.36668,                0.88544,                0.97189,                0.92049,                0.95781,                0.76774,                0.82214,                0.54134,                0.96531,                0.00604,                0.00604,                0.00604
                     42,                0.77573,                0.36459,                0.88461,                0.97025,                 0.9215,                0.95917,                0.76701,                0.82352,                0.54267,                0.96015,               0.005941,               0.005941,               0.005941
                     43,                0.77534,                0.36412,                0.88502,                0.97056,                0.92208,                0.95785,                 0.7658,                0.82172,                0.53266,                0.95816,               0.005842,               0.005842,               0.005842
                     44,                0.76908,                0.36176,                0.88069,                0.96907,                0.92346,                 0.9565,                0.76776,                0.82975,                0.53706,                0.96111,               0.005743,               0.005743,               0.005743
                     45,                0.76555,                0.35913,                0.88229,                0.96973,                0.92277,                 0.9592,                 0.7711,                0.82184,                0.52755,                0.95792,               0.005644,               0.005644,               0.005644
                     46,                0.76347,                0.35902,                0.88163,                 0.9745,                0.91987,                0.95898,                0.77201,                0.81998,                0.52262,                0.95711,               0.005545,               0.005545,               0.005545
                     47,                0.75397,                0.35625,                0.87998,                0.97551,                0.92227,                0.96054,                0.77525,                0.81497,                0.52758,                0.95756,               0.005446,               0.005446,               0.005446
                     48,                0.75161,                0.35414,                0.87966,                 0.9771,                 0.9242,                0.96121,                0.77748,                0.81075,                0.52958,                0.95666,               0.005347,               0.005347,               0.005347
                     49,                0.74881,                0.35306,                0.87831,                0.97807,                 0.9226,                0.96214,                0.77812,                0.80756,                0.52745,                0.95813,               0.005248,               0.005248,               0.005248
                     50,                0.74287,                 0.3503,                0.87622,                0.97269,                0.92229,                0.96047,                  0.779,                0.80475,                0.53584,                0.95718,               0.005149,               0.005149,               0.005149
                     51,                0.73825,                0.34813,                 0.8749,                0.97322,                 0.9212,                0.96033,                 0.7788,                0.80431,                0.53652,                0.95821,                0.00505,                0.00505,                0.00505
                     52,                0.74059,                0.34988,                0.87605,                0.97373,                0.92208,                0.95895,                0.78026,                0.80683,                0.53148,                0.96034,               0.004951,               0.004951,               0.004951
                     53,                0.73129,                0.34502,                 0.8745,                0.97513,                0.92252,                0.95962,                0.78037,                0.80635,                0.52775,                0.96205,               0.004852,               0.004852,               0.004852
                     54,                 0.7279,                0.34453,                0.87233,                0.97416,                0.92228,                0.95966,                0.78201,                 0.8101,                0.52655,                0.96468,               0.004753,               0.004753,               0.004753
                     55,                0.72246,                0.34151,                0.87077,                0.97367,                0.92306,                 0.9604,                0.78208,                0.81175,                0.52608,                0.96689,               0.004654,               0.004654,               0.004654
                     56,                0.72104,                0.33937,                0.87016,                0.97315,                0.92228,                0.95965,                0.78183,                0.81242,                0.52409,                0.96586,               0.004555,               0.004555,               0.004555
                     57,                 0.7171,                0.33847,                0.86997,                0.97317,                0.92234,                0.96043,                0.78214,                0.81079,                0.52201,                 0.9661,               0.004456,               0.004456,               0.004456
                     58,                0.71226,                0.33615,                 0.8677,                0.97316,                0.92261,                0.96098,                0.78294,                0.80931,                0.52134,                 0.9655,               0.004357,               0.004357,               0.004357
                     59,                 0.7073,                0.33516,                0.86611,                0.97473,                0.92098,                 0.9613,                0.78355,                0.80912,                0.52116,                 0.9664,               0.004258,               0.004258,               0.004258
                     60,                0.70223,                0.33311,                0.86787,                0.97401,                0.92074,                0.96005,                0.78392,                0.80701,                0.52099,                0.96551,               0.004159,               0.004159,               0.004159
                     61,                0.70156,                0.33015,                 0.8658,                0.96011,                0.93287,                0.96099,                0.78621,                0.80706,                 0.5182,                0.96667,                0.00406,                0.00406,                0.00406
                     62,                0.69791,                0.33022,                0.86481,                0.96228,                0.93412,                0.96093,                0.78581,                0.80765,                0.51836,                0.96838,               0.003961,               0.003961,               0.003961
                     63,                0.69262,                0.32712,                 0.8649,                0.97316,                0.92129,                0.95999,                0.78631,                0.80707,                0.51813,                0.96805,               0.003862,               0.003862,               0.003862
                     64,                0.68811,                0.32642,                0.86341,                0.96181,                0.93278,                0.96236,                0.78702,                0.80742,                 0.5203,                0.96896,               0.003763,               0.003763,               0.003763
                     65,                0.68151,                0.32386,                0.86121,                0.96117,                0.93279,                0.96161,                0.78663,                0.80795,                0.52163,                0.96969,               0.003664,               0.003664,               0.003664
                     66,                0.67947,                0.32213,                0.86157,                0.97055,                0.92562,                0.96221,                 0.7867,                0.80785,                0.52198,                0.97083,               0.003565,               0.003565,               0.003565
                     67,                0.67457,                0.32022,                 0.8597,                0.96503,                 0.9291,                0.96218,                0.78774,                0.80793,                0.52468,                0.97197,               0.003466,               0.003466,               0.003466
                     68,                0.66854,                0.31672,                0.85804,                0.96739,                0.92717,                0.96077,                0.78786,                0.80737,                0.52492,                0.97245,               0.003367,               0.003367,               0.003367
                     69,                0.66783,                0.31667,                0.85669,                0.96859,                0.92747,                 0.9601,                0.78861,                0.80823,                0.52527,                0.97238,               0.003268,               0.003268,               0.003268
                     70,                0.66379,                0.31569,                0.85742,                 0.9678,                0.92668,                0.95989,                0.78878,                0.80778,                0.52625,                 0.9724,               0.003169,               0.003169,               0.003169
                     71,                0.65745,                0.31252,                0.85486,                0.96732,                 0.9271,                0.96077,                0.78913,                0.80656,                0.52659,                0.97107,                0.00307,                0.00307,                0.00307
                     72,                0.65332,                0.31076,                0.85535,                0.96735,                0.92689,                0.96017,                0.78883,                0.80684,                0.52542,                0.97129,               0.002971,               0.002971,               0.002971
                     73,                0.65141,                0.31013,                0.85326,                 0.9679,                0.92668,                0.96077,                 0.7885,                 0.8064,                0.52519,                0.97122,               0.002872,               0.002872,               0.002872
                     74,                0.64416,                0.30611,                 0.8521,                0.96722,                0.92731,                0.96029,                0.78847,                0.80502,                0.52428,                0.97068,               0.002773,               0.002773,               0.002773
                     75,                0.64427,                 0.3073,                0.85238,                0.96667,                0.92696,                0.96023,                0.78846,                0.80394,                0.52423,                0.97058,               0.002674,               0.002674,               0.002674
                     76,                0.63413,                0.30357,                0.85091,                0.96647,                0.92945,                0.96086,                0.78829,                0.80305,                0.52433,                0.97032,               0.002575,               0.002575,               0.002575
                     77,                0.63396,                0.30143,                0.85091,                 0.9661,                0.92983,                0.96162,                0.78978,                0.80225,                0.52383,                0.96984,               0.002476,               0.002476,               0.002476
                     78,                0.62695,                0.29872,                0.84967,                0.96603,                0.92961,                0.96134,                0.78939,                0.80168,                0.52525,                0.96947,               0.002377,               0.002377,               0.002377
                     79,                0.62232,                 0.2964,                0.84911,                0.96601,                0.92919,                0.96135,                0.78932,                 0.8009,                0.52534,                0.96957,               0.002278,               0.002278,               0.002278
